* Measurement data measured by REW V5.19
* Source: D:\Downloads\Toole.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 1, 2020 8:33:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Toole.csv Format: Comma/Tab/Space delimited data 248 values loaded, 21 Hz to 19,356 Hz
* Measurement: Toole.csv
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
93.866 3.182 0
94.116 3.180 0
94.366 3.178 0
94.616 3.176 0
94.866 3.174 0
95.116 3.173 0
95.366 3.171 0
95.616 3.170 0
95.866 3.168 0
96.116 3.167 0
96.366 3.166 0
96.616 3.164 0
96.866 3.163 0
97.116 3.162 0
97.366 3.160 0
97.616 3.159 0
97.866 3.157 0
98.116 3.156 0
98.366 3.154 0
98.616 3.152 0
98.866 3.150 0
99.116 3.148 0
99.366 3.146 0
99.616 3.144 0
99.866 3.141 0
100.116 3.138 0
100.366 3.135 0
100.616 3.132 0
100.866 3.129 0
101.116 3.126 0
101.366 3.123 0
101.616 3.120 0
101.866 3.117 0
102.116 3.114 0
102.366 3.111 0
102.616 3.107 0
102.866 3.104 0
103.116 3.101 0
103.366 3.098 0
103.616 3.095 0
103.866 3.092 0
104.116 3.089 0
104.366 3.087 0
104.616 3.084 0
104.866 3.082 0
105.116 3.079 0
105.366 3.077 0
105.616 3.074 0
105.866 3.072 0
106.116 3.070 0
106.366 3.067 0
106.616 3.065 0
106.866 3.063 0
107.116 3.060 0
107.366 3.058 0
107.616 3.056 0
107.866 3.053 0
108.116 3.051 0
108.366 3.049 0
108.616 3.046 0
108.866 3.044 0
109.116 3.042 0
109.366 3.040 0
109.616 3.037 0
109.866 3.035 0
110.116 3.033 0
110.366 3.030 0
110.616 3.028 0
110.866 3.026 0
111.116 3.023 0
111.366 3.021 0
111.616 3.018 0
111.866 3.016 0
112.116 3.014 0
112.366 3.011 0
112.616 3.009 0
112.866 3.007 0
113.116 3.004 0
113.366 3.002 0
113.616 3.000 0
113.866 2.998 0
114.116 2.995 0
114.366 2.993 0
114.616 2.991 0
114.866 2.988 0
115.116 2.986 0
115.366 2.984 0
115.616 2.982 0
115.866 2.979 0
116.116 2.977 0
116.366 2.975 0
116.616 2.973 0
116.866 2.971 0
117.116 2.969 0
117.366 2.967 0
117.616 2.964 0
117.866 2.962 0
118.116 2.960 0
118.366 2.958 0
118.616 2.956 0
118.866 2.954 0
119.116 2.952 0
119.366 2.950 0
119.616 2.948 0
119.866 2.946 0
120.116 2.944 0
120.366 2.942 0
120.616 2.939 0
120.866 2.937 0
121.116 2.935 0
121.366 2.933 0
121.616 2.931 0
121.866 2.929 0
122.116 2.927 0
122.366 2.925 0
122.616 2.923 0
122.866 2.921 0
123.116 2.919 0
123.366 2.917 0
123.616 2.915 0
123.866 2.913 0
124.116 2.910 0
124.366 2.908 0
124.616 2.906 0
124.866 2.904 0
125.116 2.902 0
125.366 2.900 0
125.616 2.898 0
125.866 2.896 0
126.116 2.894 0
126.366 2.892 0
126.616 2.890 0
126.866 2.887 0
127.116 2.885 0
